Date,Close,Trends,Score,Number
2017/4/16,1182.939941,17.0,0.501195353,215
2017/4/17,1193.910034,18.0,0.661500284,353
2017/4/18,1211.670044,18.0,0.523660139,346
2017/4/19,1210.290039,18.0,0.43749438,312
2017/4/20,1229.079956,17.0,0.4149219,426
2017/4/21,1222.050049,17.0,0.64027465,321
2017/4/22,1231.709961,16.0,0.60423935,235
2017/4/23,1207.209961,15.0,0.881562868,237
2017/4/24,1250.150024,16.0,0.534282625,313
2017/4/25,1265.48999,19.0,0.498885979,297
2017/4/26,1281.079956,21.0,0.219215378,402
2017/4/27,1317.72998,19.0,0.334080564,376
2017/4/28,1316.47998,19.0,0.339989143,306
2017/4/29,1321.790039,18.0,0.450473236,228
2017/4/30,1347.890015,17.0,0.617574945,234
2017/5/1,1421.599976,23.0,0.588252149,378
2017/5/2,1452.819946,25.0,0.772900277,318
2017/5/3,1490.089966,25.0,0.890944364,418
2017/5/4,1537.670044,30.0,0.449187005,465
2017/5/5,1555.449951,30.0,0.617445854,610
2017/5/6,1578.800049,24.0,0.862738319,433
2017/5/7,1596.709961,22.0,0.413700261,396
2017/5/8,1723.349976,28.0,0.650280158,389
2017/5/9,1755.359985,37.0,0.5720714,534
2017/5/10,1787.130005,34.0,0.984326326,457
2017/5/11,1848.569946,35.0,0.887234058,646
2017/5/12,1724.23999,44.0,0.928208485,445
2017/5/13,1804.910034,43.0,0.231549857,462
2017/5/14,1808.910034,37.0,0.400413759,385
2017/5/15,1738.430054,51.0,0.898792579,465
2017/5/16,1734.449951,45.0,0.60412279,416
2017/5/17,1839.089966,38.0,0.3242722,544
2017/5/18,1888.650024,36.0,0.794171276,503
2017/5/19,1987.709961,40.0,0.775886853,444
2017/5/20,2084.72998,37.0,0.906025397,457
2017/5/21,2041.199951,39.0,0.637086247,442
2017/5/22,2173.399902,63.0,0.575790308,610
2017/5/23,2320.419922,69.0,0.701004653,450
2017/5/24,2443.639893,74.0,0.654815253,751
2017/5/25,2304.97998,100.0,0.893741571,565
2017/5/26,2202.419922,74.0,0.962635287,544
2017/5/27,2038.869995,65.0,0.458707359,335
2017/5/28,2155.800049,49.0,0.482148009,452
2017/5/29,2255.610107,47.0,0.753311069,615
2017/5/30,2175.469971,49.0,0.942053776,464
2017/5/31,2286.409912,46.0,0.792507797,475
2017/6/1,2407.879883,47.0,0.847103023,506
2017/6/2,2488.550049,41.0,0.919490173,424
2017/6/3,2515.350098,36.0,1.002846617,500
2017/6/4,2511.810059,38.0,0.620463928,322
2017/6/5,2686.810059,43.0,0.863793761,542
2017/6/6,2863.199951,58.0,0.725316558,546
2017/6/7,2732.159912,51.0,0.794196488,902
2017/6/8,2805.620117,43.0,0.177041531,504
2017/6/9,2823.810059,43.0,0.906760017,454
2017/6/10,2947.709961,40.0,0.18595829,379
2017/6/11,2958.110107,42.0,0.740078018,405
2017/6/12,2659.629883,54.0,0.541041543,451
2017/6/13,2717.02002,48.0,0.637691896,537
2017/6/14,2506.370117,46.0,0.738878322,489
2017/6/15,2464.580078,61.0,0.77098813,475
2017/6/16,2518.560059,44.0,0.82753686,360
2017/6/17,2655.879883,42.0,0.666507211,299
2017/6/18,2548.290039,38.0,0.560839589,293
2017/6/19,2589.600098,39.0,0.134301954,382
2017/6/20,2721.790039,38.0,0.882757993,367
2017/6/21,2689.100098,43.0,0.679664297,532
2017/6/22,2705.409912,40.0,0.813371296,368
2017/6/23,2744.909912,39.0,0.678580936,561
2017/6/24,2608.719971,38.0,0.726487892,361
2017/6/25,2589.409912,35.0,0.76993067,419
2017/6/26,2478.449951,44.0,0.81682135,422
2017/6/27,2552.449951,48.0,0.671207632,562
2017/6/28,2574.790039,47.0,0.882815474,362
2017/6/29,2539.320068,40.0,0.836174094,418
2017/6/30,2480.840088,33.0,0.753075148,493
2017/7/1,2434.550049,31.0,0.805062277,374
2017/7/2,2506.469971,34.0,0.528974207,312
2017/7/3,2564.060059,33.0,0.590717974,342
2017/7/4,2601.639893,31.0,0.61964644,309
2017/7/5,2601.98999,33.0,0.724381202,308
2017/7/6,2608.560059,35.0,0.466613849,243
2017/7/7,2518.659912,34.0,0.751138356,364
2017/7/8,2571.340088,31.0,0.776810045,351
2017/7/9,2518.439941,32.0,0.631662896,250
2017/7/10,2372.560059,36.0,0.824358362,466
2017/7/11,2337.790039,41.0,0.58964607,512
2017/7/12,2398.840088,37.0,0.765077888,318
2017/7/13,2357.899902,36.0,0.890658552,503
2017/7/14,2233.340088,34.0,0.527475569,455
2017/7/15,1998.859985,39.0,0.600113622,526
2017/7/16,1929.819946,45.0,0.568335034,615
2017/7/17,2228.409912,42.0,0.711526298,582
2017/7/18,2318.879883,45.0,0.098888584,498
2017/7/19,2273.429932,39.0,0.927868116,489
2017/7/20,2817.600098,45.0,0.676383869,769
2017/7/21,2667.76001,42.0,0.342226453,525
2017/7/22,2810.120117,41.0,0.873834331,456
2017/7/23,2730.399902,42.0,0.58879625,506
2017/7/24,2754.860107,40.0,0.574661272,475
2017/7/25,2576.47998,43.0,0.5254008,549
2017/7/26,2529.449951,40.0,0.471562112,657
2017/7/27,2671.780029,36.0,0.386462435,599
2017/7/28,2809.01001,43.0,-0.025411524,685
2017/7/29,2726.449951,35.0,0.247442434,570
2017/7/30,2757.179932,35.0,0.429392094,513
2017/7/31,2875.340088,45.0,0.648210275,615
2017/8/1,2718.26001,76.0,0.746050594,828
2017/8/2,2710.669922,71.0,0.476946099,670
2017/8/3,2804.72998,48.0,0.640974013,746
2017/8/4,2895.889893,44.0,0.561289078,576
2017/8/5,3252.909912,57.0,0.752372697,456
2017/8/6,3213.939941,46.0,0.603530983,679
2017/8/7,3378.939941,54.0,0.943648418,525
2017/8/8,3419.939941,56.0,0.745516512,661
2017/8/9,3342.469971,52.0,0.783569855,673
2017/8/10,3381.280029,50.0,0.614846787,610
2017/8/11,3650.620117,51.0,0.873808476,469
2017/8/12,3884.709961,59.0,0.806044896,592
2017/8/13,4073.26001,74.0,0.948397845,530
2017/8/14,4325.129883,84.0,0.844458223,667
2017/8/15,4181.930176,81.0,0.775788688,653
2017/8/16,4376.629883,71.0,0.692976187,434
2017/8/17,4331.689941,67.0,0.776006789,689
2017/8/18,4160.620117,66.0,0.967219776,614
2017/8/19,4193.700195,65.0,0.624386241,664
2017/8/20,4087.659912,58.0,0.656479693,524
2017/8/21,4001.73999,61.0,0.8014828,552
2017/8/22,4100.52002,66.0,0.693761082,730
2017/8/23,4151.52002,58.0,0.69409834,490
2017/8/24,4334.680176,58.0,0.869810324,535
2017/8/25,4371.600098,60.0,0.855133421,576
2017/8/26,4352.399902,51.0,0.680306774,626
2017/8/27,4382.879883,50.0,0.392942758,348
2017/8/28,4382.660156,52.0,0.276619853,427
2017/8/29,4579.02002,59.0,0.558680257,628
2017/8/30,4565.299805,64.0,0.624575692,519
2017/8/31,4703.390137,69.0,0.519052371,535
2017/9/1,4892.009766,72.0,0.931003945,665
2017/9/2,4578.77002,72.0,0.657065306,686
2017/9/3,4582.959961,66.0,0.715838304,550
2017/9/4,4236.310059,78.0,0.630487472,700
2017/9/5,4376.529785,78.0,0.414927043,605
2017/9/6,4597.120117,66.0,0.723588349,615
2017/9/7,4599.879883,60.0,0.696338329,587
2017/9/8,4228.75,66.0,0.103259603,701
2017/9/9,4226.060059,54.0,0.448411527,591
2017/9/10,4122.939941,54.0,0.197545433,555
2017/9/11,4161.27002,60.0,0.344020355,719
2017/9/12,4130.810059,60.0,0.254581822,619
2017/9/13,3882.590088,78.0,0.389507312,692
2017/9/14,3154.949951,96.0,0.058414037,879
2017/9/15,3637.52002,114.0,0.147504981,874
2017/9/16,3625.040039,72.0,0.0031984,681
2017/9/17,3582.879883,60.0,0.450604514,626
2017/9/18,4065.199951,66.0,0.480380687,604
2017/9/19,3924.969971,66.0,0.770619006,690
2017/9/20,3905.949951,54.0,0.668266152,775
2017/9/21,3631.040039,60.0,0.388711367,772
2017/9/22,3630.699951,54.0,0.499212262,532
